sample3,,
Wavelength (nm),Abs,
800.0492554,-0.001628948026,
798.9382324,-0.001209776732,
797.9656372,-0.001921142917,
796.9927368,-0.002430659952,
796.0194092,-0.00223528943,
795.0457153,-0.001790254377,
793.9324951,-0.001744467649,
792.9580078,-0.0009772339836,
791.9830933,-0.001672477811,
791.0078735,-0.002012777375,
790.0322876,-0.001709763426,
789.0562744,-0.001874957466,
787.9404297,-0.001677480293,
786.963623,-0.002262638416,
785.9864502,-0.002387669403,
785.0089111,-0.002038697479,
784.0310059,-0.002073220909,
783.0527344,-0.001844078652,
781.9342651,-0.002273196355,
780.9552002,-0.001771692769,
779.975769,-0.001965210307,
778.9959717,-0.001839541947,
778.0158081,-0.00233097747,
777.0352783,-0.00209697336,
776.0543823,-0.003076085588,
774.9329224,-0.002017776016,
773.9512329,-0.002247187309,
772.9691772,-0.001918978058,
771.9867554,-0.00165287964,
771.0039673,-0.001599857002,
770.020813,-0.002243221272,
769.0372925,-0.002032617107,
768.0534058,-0.0008904439746,
767.0692139,-0.00143935706,
765.9439087,-0.001052902779,
764.9589233,-0.0005984334857,
763.9735107,-0.001151846373,
762.987793,-0.0009912840324,
762.001709,-0.001083114999,
761.0152588,-0.001187989255,
760.0284424,-0.0008888423326,
759.0412598,-0.001066175755,
758.0537109,-0.001102635637,
757.0658569,-0.001178902225,
755.9364014,-0.001430481672,
754.9476929,-0.0006997549208,
753.9587402,-0.0007351601962,
752.9693604,-0.000548591197,
751.9796143,-0.0006009151111,
750.989563,-0.0009083716432,
749.9990845,-0.0006935522542,
749.0083008,-0.000876700622,
748.0171509,-0.0009773373604,
747.0256958,-0.0009290883318,
746.0338135,-0.0009439665591,
745.041626,-0.0008765973034,
744.0490723,-0.000749889994,
743.0562134,-0.0008650752716,
742.0629272,-0.0005204619374,
741.0693359,-0.0008804206736,
739.9333496,2.500656592E-005,
738.9390259,-0.001026613871,
737.9442749,-0.0004425797961,
736.9492188,-0.0002318246261,
735.9538574,-0.0006810949417,
734.9580688,0.0003776333178,
733.9619751,-0.0001457653125,
732.9655762,-0.0001384161005,
731.96875,-0.0001530108857,
730.9716187,3.316119182E-005,
729.9741821,4.576880383E-005,
728.9763184,0.000165287478,
727.9781494,6.497863797E-005,
726.9796753,0.0002116434625,
725.980835,6.730873429E-005,
724.9816284,-7.330287917E-005,
723.9820557,-0.0005629137158,
722.9821777,-4.555691339E-005,
721.9819946,8.457769582E-005,
720.9813843,0.000156431197,
719.9805298,0.0002929726325,
718.979248,6.593656872E-005,
717.9776611,0.000150216365,
716.975769,-0.000138053816,
715.9735107,3.401549475E-005,
714.9708862,0.0003985678777,
713.9679565,7.955486944E-005,
712.9646606,2.428171683E-005,
711.9610596,-0.000520306814,
710.9570923,0.0001885684323,
709.9528198,-0.000309123745,
708.9482422,-4.467688268E-005,
707.9432373,-0.0002060551924,
706.9379883,-0.000179766721,
705.932373,-0.0004155815113,
705.0701294,-5.834305193E-005,
704.0639038,-0.0001595318026,
703.057312,-0.0003144006769,
702.050415,-0.0002507108729,
701.0431519,-0.0005421278183,
700.0355835,-0.0004033231235,
699.02771,0.0002301354543,
698.0194702,-0.0008190358058,
697.0109253,-0.000533440907,
696.0020142,-0.0006790790358,
694.9927979,-0.001010498963,
693.9832764,-0.001595885144,
692.9733887,-0.001328349928,
691.9631958,-0.0005270290421,
690.9526978,-0.00112711254,
689.9418335,-0.001121535664,
688.9306641,3.528400703E-005,
688.0636597,-0.0008910639444,
687.0518799,-0.0005111023202,
686.0397949,-0.0005808549467,
685.0273438,-0.00153413706,
684.0145874,-0.000752990949,
